Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,Total_Income,Total_Income_log,EMI,Balance Income
1,0,0,1,0,5849,0.0,128.0,360.0,1.0,3,1,4.852030263919617,5849.0,8.674025985443025,0.35555555555555557,5493.444444444444
1,1,1,1,0,4583,1508.0,128.0,360.0,1.0,1,0,4.852030263919617,6091.0,8.714567550836485,0.35555555555555557,5735.444444444444
1,1,0,1,1,3000,0.0,66.0,360.0,1.0,3,1,4.189654742026425,3000.0,8.006367567650246,0.18333333333333332,2816.6666666666665
1,1,0,0,0,2583,2358.0,120.0,360.0,1.0,3,1,4.787491742782046,4941.0,8.50532301884575,0.3333333333333333,4607.666666666667
1,0,0,1,0,6000,0.0,141.0,360.0,1.0,3,1,4.948759890378168,6000.0,8.699514748210191,0.39166666666666666,5608.333333333333
1,1,2,1,1,5417,4196.0,267.0,360.0,1.0,3,1,5.58724865840025,9613.0,9.170871628065816,0.7416666666666667,8871.333333333334
1,1,0,0,0,2333,1516.0,95.0,360.0,1.0,3,1,4.553876891600541,3849.0,8.255568653283746,0.2638888888888889,3585.1111111111113
1,1,3,1,0,3036,2504.0,158.0,360.0,0.0,2,0,5.062595033026967,5540.0,8.61974977974133,0.4388888888888889,5101.111111111111
1,1,2,1,0,4006,1526.0,168.0,360.0,1.0,3,1,5.123963979403259,5532.0,8.61830469278465,0.4666666666666667,5065.333333333333
1,1,1,1,0,12841,10968.0,349.0,360.0,1.0,2,0,5.855071922202427,23809.0,10.077818939438902,0.9694444444444444,22839.555555555555
1,1,2,1,0,3200,700.0,70.0,360.0,1.0,3,1,4.248495242049359,3900.0,8.268731832117737,0.19444444444444445,3705.5555555555557
1,1,2,1,0,2500,1840.0,109.0,360.0,1.0,3,1,4.6913478822291435,4340.0,8.375629627094451,0.30277777777777776,4037.222222222222
1,1,2,1,0,3073,8106.0,200.0,360.0,1.0,3,1,5.298317366548036,11179.0,9.321792297270326,0.5555555555555556,10623.444444444445
1,0,0,1,0,1853,2840.0,114.0,360.0,1.0,1,0,4.736198448394496,4693.0,8.453827315794417,0.31666666666666665,4376.333333333333
1,1,2,1,0,1299,1086.0,17.0,120.0,1.0,3,1,2.833213344056216,2385.0,7.776954403322442,0.14166666666666666,2243.3333333333335
1,0,0,1,0,4950,0.0,125.0,360.0,1.0,3,1,4.8283137373023015,4950.0,8.507142855562735,0.3472222222222222,4602.777777777777
1,0,1,0,0,3596,0.0,100.0,240.0,1.0,3,1,4.605170185988092,3596.0,8.18757739559151,0.4166666666666667,3179.3333333333335
0,0,0,1,0,3510,0.0,76.0,360.0,0.0,3,0,4.330733340286331,3510.0,8.163371316459912,0.2111111111111111,3298.8888888888887
1,1,0,0,0,4887,0.0,133.0,360.0,1.0,1,0,4.890349128221754,4887.0,8.494333897270154,0.36944444444444446,4517.555555555556
1,1,0,1,0,2600,3500.0,115.0,360.0,1.0,3,1,4.74493212836325,6100.0,8.716044050161402,0.3194444444444444,5780.555555555556
1,1,0,0,0,7660,0.0,104.0,360.0,0.0,3,0,4.6443908991413725,7660.0,8.943767262734637,0.28888888888888886,7371.111111111111
1,1,1,1,0,5955,5625.0,315.0,360.0,1.0,3,1,5.752572638825633,11580.0,9.357034751126987,0.875,10705.0
1,1,0,0,0,2600,1911.0,116.0,360.0,0.0,2,0,4.7535901911063645,4511.0,8.414274137408396,0.32222222222222224,4188.777777777777
1,1,2,0,0,3365,1917.0,112.0,360.0,0.0,1,0,4.718498871295094,5282.0,8.572060092857077,0.3111111111111111,4970.888888888889
1,1,1,1,0,3717,2925.0,151.0,360.0,1.0,2,0,5.017279836814924,6642.0,8.801168401936692,0.41944444444444445,6222.555555555556
